target,context
I believe it's more accurate.,"[':  But the idea that they could lose their jobs, or, in our case, be forced to go to all this counseling and that sort of stuff, you know, just in the case of a false positive.', "":  Well, I mean, now even if you had a false positive, I mean, they're, they're better, you can have retests or, what do they do, test on your hair, they can, uh."", ':  Uh, no, urine.', "":  Well, can't they also test your hair?"", "":  Yes they can, and I think that's probably be more acceptable.""]"
":  I wonder some-, I mean, I believe as you do that something needs to change, but I wonder sometimes what, what makes an impact on criminals that do this kind of a crime.","[':  -- unless a life has been lost?', ':  Right --', ':  (( )).', ':  -- right.', 'And, um.']"
"@:  Oh, I believe there's, you know, there is a need for it.","['Uh, capital punishment.', 'Uh, my, my feeling, by the way, is that I think there is a need for capital punishment.', ""I don't think it ought to be applied to every crime, obviously."", 'But there is a need.', 'How do you feel about it?']"
:  I believe you do.,"["":  -- an occupational therapist and so it's hospital work that, uh, I know this is true in occupational therapy as well as physical therapy, there's so many people who are applying to the schools right now that they require that you do X number of volunteer hours, I think it's a hundred or so --"", ':  Okay.', ':  -- before you can even be accepted into the school program to become a therapist.', ':  So you have to do it in that field, actually.', 'Like if you --']"
":  -- uh, Hafaia Susaad I believe --","["":  -- it's a little hard to keep it straight, isn't it?"", ':  Oh yes --', ':  Oh.', "":  -- yes, and when we decided Saddam Hussein was our enemy then the, uh, uh, oh what's his name in, uh, Syria --"", ':  Yeah.']"
":  -- I, uh, I (( )) believe they're getting better, and, you know, I, I, I looked around and seen some of those new Saturns and stuff, and --","[""We've really enjoyed it, #especially for kids.#"", "":  #Well, that's good to hear.#"", ""Yeah, that's good to hear, some good news about some American made cars."", 'I --', ':  Uh-huh.']"
":   Oh, I can believe that.","['And even moving from her house to our house --', ':   Uh-huh.', ':   -- has been tremendously unsettling for her and we have several young children --', ':   Uh-huh.', ':   -- and they about drive her crazy.']"
:  I believe it was Dukakis --,"[':  Huh-uh.', "":  Uh, I, I haven't really heard much of what the other people, other candidates have said that have made a lot of sense to me either, especially the Democratic candidates don't seem to be coming up with much that really sparks my interest as far as yeah, maybe that could do something to affect our budget --"", ':  Uh-huh.', ':  -- at this point.', "":  Yeah, I mean, you know, in retrospect, um, was it, was it Mondale or Dukakis that said, you know, I'll, I'll tell you right now I'm going to raise taxes?""]"
":  Yes, I, I can believe that.","["":  What'd you find out?"", '[laughter].', ':  -- I found out that more than eighty percent of all the people I talked to, the mothers went to work to provide a better life for their children and when I,', ':  [Laughter].', ':  talked with their children, their children wanted their parents home rather than the, the material things they were getting.']"
":  I believe it, I can't even remember the last execution we had here actually.","["":  Uh, Greg, uh, I, I'm not familiar."", ""I think, uh, you guys in Indiana, don't you have the, the death penalty?"", ':   Yeah, we do have the death penalty here.', ""It's not exercised very often, but we do have it."", ':  Uh-huh.']"
":  -- you know, but, yes, I believe the benefits, and the pay, is much better than you would get in a smaller system.","["":  -- and you didn't have the problem."", ':  Do you like working for a large school system compared to a small one?', ':  Yes, I think I do.', ""I've never worked for a small one, so I can't tell you --"", ':  Uh-huh.']"
"And I believe they're going to start charging now, uh, and I sus-, I'm not sure what we're going to do.","[""Uh, in our own neighborhood there's a private company that comes around once a week, and, uh, picks up recyclables."", ""They do not pick up magazines, uh, and I believe they don't pick up the plastic."", ""I think it's the two categories you talked about."", ""It's just newspapers, bottles, cans, and, uh, cardboard."", ""And it used to be free for a few weeks, then they sent out little flyers saying, hey we still want to do this for free, but we're not quite making ends meet and we'll take donations, and I, I'm, I don't, not sure if anybody really sent the donations in to this private company just to be nice.""]"
:  I believe #it is# --,"[':  Uh-huh.', ':  Which, again, I think is the way it is now.', 'That all the, all verdicts, well maybe not.', ""I don't know."", ""At least in capital cases I'd think they'd have to be --""]"
"I t-, I believe that's the way it is.","[':  -- #unanimous.#', ':  -- in capital.', ""I think in like, uh, lesser cases it's like ten out of twelve or five out of six, whatever [child]."", ':  Uh-huh.', ':  How ever many is on, sitting on a jury.']"
":  Uh, yeah, I really, [rustling] I really believe the same thing.","['It was stuff we already seen probably half a, who knows how many times before.', ""And it was just presented so dryly and I suppose that if, uh, if you're going to pay teachers the salary that they're paid, that's, that's the level of education that's going to be presented."", "":  That's true."", 'We have to pay our teachers more and give them more incentive to interest the children.', ':  Yeah.']"
":  -- but I do believe it's necessary and I,","[':  But it, but, uh,', "":  I mean I, I'd hate to be the person to pull the switch, you know,"", ':  [Throat_clearing].', ':  I would never in a million years want that job --', ':  Huh.']"
":  Uh, I know, uh, I believe it was last year that they actually collected the old phone books.","[""And there's a big push on for recycling, uh, paper materials, you know, computer output paper and also to decrease the amount of, uh, Styrofoam usage because of the, uh, [whistling] the process involved in Styrofoam and, and the whole eco issue and that."", ""And, and they're very proactive and, uh, matter of fact, they give you discounts if you use, [/whistling] uh, china wear rather than, uh, Styrofoam stuff, so."", ""So, i-, i-, it's incentives like that that get people people more conscious of it."", ""I think that's, that's what they need to do."", 'Be more ((proactive)) like that.']"
":  Yeah, something, I believe something like that.","[':  Now, the Ranger --', ':  -- counting all of,', ':  -- is that, the Ranger is below the one fifty?', ':  Yeah.', "":  It's like a, it's like a three quarter ton truck?""]"
":  Yeah, I, I believe they should too.","[':  -- but, uh, they was getting a program set up, that for all new hires they was going drug, uh, give them drug tests.', ':  Oh.', "":  But, uh, they didn't hire very many new hires because all the people that usually work there, you know, just stayed there because it was, they had been there for a long, long time."", ':  Uh-huh.', ':  But, uh, [swallowing] actually, I think they should do it.']"
":  (( )) I believe you should have the testing but they should be, like, if you get, if you get a positive, they should double check you and still give you the benefit of a doubt.","[':  Yeah, see #now that# --', "":  #I've heard# of, I've heard of that, yeah."", ':  -- that would be really unfair then, huh?', ':  Yeah.', ':  You know.']"
":  As a matter of fact, I believe that the safety and, and health, uh, issues, uh, depend in a very direct way on the people who are working with the children.","[':  Well, right.', ""Uh, in Texas, we have to meet certain state standards in order to operate on a, at an institutional level and at a, like a small home level so [inhaling] [breathing] you meet the standards, but then after that there's, there's a lot more."", ""I think it's important ((as)) the safety and health and that kind of stuff, is qualification of people who work there, and in hiring people who would work at the, uh, day care, the child care facility was very difficult to find qualified people, uh, in terms of, not just, just because somebody has a child or, uh, likes children doesn't really mean that they're qualified to give the child the kind of supervision and training that --"", ':  Oh, absolutely [throat_clearing].', ':  -- that, uh,']"
"Yeah, I can, I can believe that.","[':  Uh-huh.', ':  -- and I like a lot of classical music, but I also dislike, uh, some classical music, and what gets me even more is the attitude of people who are really into classical music,', ':  [Laughter].', "":  and feel that if, if it's not seventy five years old, it hasn't stood the test of time."", ':  [Laughter]']"
":  uh, as a state, believes in capital punishment.","["":  That's,"", ':  -- whatever, for the conviction levied.', "":  That's true."", 'Well, certainly Texas,', ':  [Throat_clearing].']"
"Yeah, I sort of believe the same way.","[""Being up here in the, uh, northeast, uh, I'm considered liberal [laughter]."", ':  Uh-huh.', "":  But, uh, I believe in the right to own and, uh, have a gun for yourself if that's what, if that's what you want as long as you don't have a record in the past of, uh, committing crimes or, uh, something in that order."", ""I think that it's important that there be some check, uh, background checks before they just hand a gun over to any old person."", ':  Uh-huh.']"
"@:  Well, uh, I believe a trial by twelve, uh, peers is fair.","[':  Well,', "":  So, uh, what do you think about, uh, uh, how trials in America are right now with the jury of nine or twelve, do you think that's fair?""]"
"I believe, if I had to, that I could [throat_clearing] estimate all the major for-, all the major sources of spending, uh, on a monthly basis and come pretty close.","[':  Yeah.', 'But even, even if you do break your budget I think when you write things down or however, if, if you do it on the computer, whatever, something where you can just constantly see exactly what, where your money is going --', ':  Right.', "":  -- then, you, it, it's easier, even if you don't stick to it, I think it's, you know, it's better to have, you, a little bit more conservative (( ))."", ':  Right.']"
":  I believe, I believe that's true.","["":  #That's true.#"", ':  -- and schools are not stopping this when the kids are young.', ':  Uh-huh.', '#Well,#', ':  #And they# just keep pushing.']"
"I believe so too,","[':  -- and the environment that the kids,', ':  #Uh-huh.#', ':  #will be in.#', ':  Right.', ""That's real important.""]"
"I, I believe that's a, for, for civil suits it's not unanimous, right, but for, for criminal suits it's unanimous by federal law?","[':  Hi.', ':  Okay.', 'So, uh, with the issue of trial by jury, uh, I actually found the whole question about whether you need a, a unan-, a unanimous verdict in a criminal case to be somewhat interesting.', "":  Yeah, actually, I, I agree that [laughter] that's an interesting thing.""]"
":  I believe so and, uh, I know we're going through a case right now that, uh, where parent's starved a child to death [inhaling].","[':  Uh, [inhaling].', 'I think that was in Houston.', ':  So it was in Texas too?', ':  Yes, uh-huh.', "":  That's what I thought.""]"
"I believe that that's the way that it use to be in this country a long time ago and that it probably is in a lot of other countries too, because your, your math professors or what whatever will always go.","["":  Uh, I think that there's a lot that could be done to, improve them."", 'I, uh, being I am in college and stuff, you get to college and you see, you know, it just seems, it seems like that we ought to be doing a lot of the things that that are done in college I guess should be taught a lot earlier in school.', 'Like in math and science and stuff #like that.#', ':  #Yeah.#', "":  I mean I, uh, am a math major and when I was in high school, you know, I, I think I could have handled a lot of the work that I've been doing here in college at a much younger age.""]"
":  -- for the, uh, actually if you're, I believe, I, I read up on some of it, if you're pregnant --","[':  Yeah.', ':  You know, at least, somewhat limited.', ""Uh, let's, you have any kind of, uh, child care benefits or --"", ':  Uh, yeah --', ':  -- any,']"
"I believe that if they're convicted and it's, uh [noise], you know the only scary part I see in that is a crooked law system that would put people to death without enough evidence.","[""[noise] I feel like if anybody has committed murder and they, and they convict them, that they definitely, and they're sentenced to life in prison, then it's not fair to have us to pay for them to stay there for life --"", ':  Huh-uh.', ':  -- and then get paroled and go back out.', ':  Huh-uh.', ':  [Lipsmack]']"
":  in my belief, I belie-, we, uh, I believe that if a person has killed, then there really isn't much point to them going on anyway, because they pretty much ruined what they came to earth to do.","['Every now and then he comes up for parole.', ""It's just scary that he could actually get back out."", ':  Right.', 'Uh, I think that,', ':  [Breathing].']"
:  #I really# believe that.,"["":  #that they# feel and decide what's best for them and their family."", ':  Uh-huh.', ':  And I feel when my children were very young, I had jobs that helped me be flexible with my schedule and spend time with them and all that sort of thing.', ""And I long ago decided I'm a better mother because I work outside the home."", ':  #Uh-huh.#']"
":  -- I believe that, I believe it.","[':  Oh.', "":  And, you know, there really wasn't a whole lot that could be done other than let it go ahead and finish it off at that point."", "":  Um, um, well, uh, let's see, a lot of the, I don't know if you've, I've, I've been, I've heard about a lot of studies and stuff and they said that, uh, people that have pets have a lower incidence of, uh, heart disease and --"", ':  Yeah --', ':  -- stuff like that.']"
