target,context
"I mean, I really do think there are some people that there's nothing that can be done about.","[':  #No mo-, again,# no more than I have to.', 'Um, I have very mixed feelings about this whole issue.', ""Um, uh, I, I really don't like the idea of, of, uh, death penalty, ca-, capital punishment, however you want to put it."", ':  Uh-huh.', ':  Um, and yet I do concur that there are some people that have to be kept away forever.']"
"Um, do you think that, uh, putting, putting those people in jail permanently would be an equally good solution?","[':  Uh-huh.', ':  Um, and yet I do concur that there are some people that have to be kept away forever.', ""I mean, I really do think there are some people that there's nothing that can be done about."", 'So, it makes a dilemma for me.', ':  I see.']"
":  I, I, the, I always think about it in terms of myself, and I really wonder if I'd really want to be in jail for the rest of my life, or just killed.","[':  Um, and yet I do concur that there are some people that have to be kept away forever.', ""I mean, I really do think there are some people that there's nothing that can be done about."", 'So, it makes a dilemma for me.', ':  I see.', 'Um, do you think that, uh, putting, putting those people in jail permanently would be an equally good solution?']"
":  I mean, I think, uh, and some have asked to be killed, you know, there, there have been, been some criminals who have said, and this is what I want.","['So, it makes a dilemma for me.', ':  I see.', 'Um, do you think that, uh, putting, putting those people in jail permanently would be an equally good solution?', "":  I, I, the, I always think about it in terms of myself, and I really wonder if I'd really want to be in jail for the rest of my life, or just killed."", ':  Uh-huh.']"
":  Um, do you think, uh, do you think that, that, uh, the death penalty is effective as a means of retribution --","[':  Uh-huh.', "":  -- uh, because I don't know what life is like, what, what life means if you're in jail the rest of your life."", ':  Uh-huh.', ""Well, certainly for, for someone like Charles Manson who's very definitely going to stay in jail for the rest of his life, I, uh, I can't imagine that he will ever be allowed out by the parole board, that, uh, his life is not going to improve."", ':  Uh-huh.']"
":  Um, well, to be honest I think that the, uh, capital punishment is, is, is a, uh, red herring in the crime and punishment business.","[""They say in, in, in countries where you know you're going to have your hand cut off, you know, if you steal, et cetera, [noise] that, that it has, that, that there is less crime."", ':  Uh-huh.', ':  Uh, we certainly let our people out way to fast.', ""I don't know, I don't think I've got enough evidence on that."", 'What about you?']"
"Really the problem is that, I, I think two-fold.","[""I don't know, I don't think I've got enough evidence on that."", 'What about you?', ':  Um, well, to be honest I think that the, uh, capital punishment is, is, is a, uh, red herring in the crime and punishment business.', ':  Uh-huh.', "":  Um, as you said, we're letting our people out far too much.""]"
":  -- but the other people are thinking they may get killed when they get up, walk, to school.","[':  Right, and may be killed on the street anyway.', 'Death is not that bi-, I mean one way or the other, death is part of their everyday life.', ':  Oh, yeah, as, as, uh.', "":  I mean a white collar person thinking they may get killed, you know, that's a big deal --"", ':  Yeah.']"
":  Well, what do you think about how we've changed in the last ten, twenty years?",[]
@:  I think it's pretty amazing.,"["":  Well, what do you think about how we've changed in the last ten, twenty years?""]"
"I think, um, that my grandparents, especially, have seen a whole lot of change in their lives, but, uh.","["":  Well, what do you think about how we've changed in the last ten, twenty years?"", ""@:  I think it's pretty amazing.""]"
":  And in, like in what ways particularly are you thinking?","["":  Well, what do you think about how we've changed in the last ten, twenty years?"", ""@:  I think it's pretty amazing."", 'I think, um, that my grandparents, especially, have seen a whole lot of change in their lives, but, uh.']"
":  #I think even,# even in the last like four years you can still see things falling so fast, and that can be, for me, that's the biggest change.","[""@:  I think it's pretty amazing."", 'I think, um, that my grandparents, especially, have seen a whole lot of change in their lives, but, uh.', ':  And in, like in what ways particularly are you thinking?', ':  Well, technology, but also mor-, morals and things like that.', ':  #Uh-huh.#']"
:  I think you're really right.,"[':  Uh-huh.', ':  Uh, just, just the technology like you mentioned.', ':  Uh-huh.', ':  Faxes and car phones and [laughter] V C R -s and all of that that make us so immediate.', ""There, there's no time for relationships, talking, sitting, being with each other, all of that.""]"
"I think like, well even with computers, um --","[':  Uh, just, just the technology like you mentioned.', ':  Uh-huh.', ':  Faxes and car phones and [laughter] V C R -s and all of that that make us so immediate.', ""There, there's no time for relationships, talking, sitting, being with each other, all of that."", "":  I think you're really right.""]"
"I think impotence is a, is a word that, that suits most of America now.","[':  Yeah.', ':  -- no attention span --', ':  Yeah, exactly.', "":  -- (( )) you're exactly right."", ""I mean, all, there's all that, and then we've got the rich getting richer and everyone else getting poorer, with, with, you know, with, with little hope of, of having any impact.""]"
":  Yeah, I think, uh, I, I don't know, there was a lot, there was good and bad in the nuclear family, we've certainly found out a lot about the bad about it --","["":  -- whereas we used to be able to depend on each other and trust each other and you'll help me and I'll help you, not, and not in this corruptive sense, but in the sense of, you know, when you're in trouble and you need so-, you know, someone to babysit the kids, sure."", ':  Uh-huh, the in-, interdependence in a --', ':  Yeah.', ':  -- nice way.', ':  Exactly.']"
":  Yeah, I think, I think because #it's a necessity# --","["":  -- but, but the community, however the family looked, and it didn't always look like a nuclear family, even then --"", ':  Uh-huh.', "":  -- you know, you had generations living together or, you know, whatever, community has just definitely been lost, and I think a lot of people are trying to reestablish it in all sorts of different ways, um, you know, well, okay, so we don't have a small town, and okay, so we move, but, you know, maybe there's some way that we can have a group that works together, you know, everything from people who do live in communal, you know, almost commune areas that they've started up again, you know, special cities or little towns that do that, to people who do it through a church or through a book club or some-, I mean, something --"", ':  Yeah.', ':  -- you know, even offices have started sort of becoming the community.']"
"My next door neighbor, every time she sees something, she thinks it's so cute she wants to buy it, #you know [laughter].#","["":  #It's just,# it's just getting started, you know."", ':  Yes.', ':  But, um, these little wooden things, they seem to sell really good.', ':  Uh-huh.', ':  Um, I know a lot of people that have gotten them, you know.']"
":  Okay, so what do you think of the Giants?",[':  All right.']
":  But, I just think the Giants have a good team.","["":  -- wasn't that something of him."", ':  Yeah, that, that was incredible.', "":  Yeah, that's really a, really proud of him though, the way he's, you know."", ':  The way he handled that #entire situation, there.#', ':  #Yeah, really,# you know.']"
:  So what do you think is going to happen this year to the teams?,"[':  Yeah, exactly.', ':  [Laughter].', ':  This is America, so.', ':  Yeah, #um.#', ':  #But.#']"
"I mean, that's just, I think they're a good team.","["":  Yeah, I've heard, I've heard talk about that."", "":  You know, uh, they won't be that far away, but San Francisco will be hurting, anyhow."", "":  Yeah, they're not going to be happy about it."", ':  You know.', ':  But I hope they can do good.']"
":  I was, I was thinking, uh-huh, I talked to a guy named Vinny last night about fixing your car, so.","["":  -- I don't know."", ':  Yeah.', ""@@:  I was, I was kind of surprised that we were going to talk about baseball, and I get a woman's voice."", 'I was,', ':  [Laughter].']"
