target,context
The Bhutanese believe them to be the aboriginal inhabitants of the country.,['The Lhop or Doya people are a little-known tribe of southwest Bhutan.']
"However, folklorist Katherine Luomala believes that the legends of the Menehune and similar creatures are a post-European contact mythology.","[""In Hawaiian mythology, the Nawao are a legendary people, a wild, large-sized hunting people, descended from Lua-nu'u (Beckwith 1970:321-323)."", 'Other sources suggest that the Nawao were present in Hawaii before the Menehune who are thought to have driven them out or destroyed them.']"
ControversyMammen Mappillai is believed to be in the list of 18 names of account-holders in LGT Group and LGT Bank.,"['Since then, the company has grown to become a  enterprise.', 'In 1992, Mappillai was awarded the Padma Shri award for his contribution to industry.', 'His brothers, K. M. Cherian, K. M. Philip and K. M. Mathew and nephew Mammen Mathew are also Padma Shri awardees.', 'The eldest brother K.M. Cherian is also a Padma Bhushan recipient.', 'His cousin M. K. Mathulla also was awarded Padma Shri.']"
"The original meeting place of the wapentake is believed to have been in, or near, to the village of Staincross, similar to the wapentakes at Ewcross and Osgoldcross.","['Staincross was a Wapentake (Hundred), which is an administrative division (or ancient district), in the historic county of the West Riding of Yorkshire.', 'It consisted of seven parishes, and included the towns of Barnsley and Penistone', 'HistoryStaincross was named after the village of Staincross and also included the parishes of Cawthorne, Darton, Felkirk, Hemsworth, High Hoyland, Penistone, Royston, Silkstone (including Barnsley) and Tankersley and parts of Darfield.', 'Of the nine wapentakes in the West Riding of Yorkshire, Staincross typically had the lowest population density, which was recorded in 1867 as 27,089.']"
"It is believed that the word ""skyrack"" comes from the Old English phrase scir ac meaning ""Shire Oak"", under which meetings were held.","['It was split into upper and lower divisions and centred in Headingley, Leeds.', 'The Lower Division included the parishes of Aberford,  Bardsey, Barwick-in-Elmet, Kippax, Thorner, Whitkirk and part of Harewood, while the Upper Division included the parishes of Adel, Bingley, Guiseley and parts of Harewood, Ilkley and Otley.', 'The Upper division of Skyrack was bounded to the north by the River Wharfe whilst the southern edge was bounded by the River Aire.', 'Both divisions together contained 82 settlements.', 'The Skyrack wapentake derives its name from a large oak that grew for centuries in Headingley.']"
"It is believed that, after this play, the country becomes prosperous with more yields and increased number of livestock.","['It is in fact Godavariyattom.', 'Basically it is a theyyam (a popular ritual form of worship of North Malabar), with the image of a cow-face attached to mid part of the body.', 'Usually a boy is selected to do this.', 'Special hair work, face pack, and costumes accompany this.', 'Paniyas also assist the main character.']"
"In some areas, this practice was also believed to ward off witches and evil in general, although today it is mostly followed as a tradition to celebrate and welcome the New Year.","['The Twelve Grapes (Sp. , ""the twelve grapes of luck"") is a Spanish tradition that consists of eating a grape with each of the twelve clock bell strikes at midnight of December 31 to welcome the New Year.', 'Each grape and clock bell strike represents each of the coming twelve months.', 'This tradition dates back from at least 1895 but was consolidated among the population in 1909.', 'In December of that year, some Alicantese vine growers spread this custom to better sell huge numbers of grapes from an excellent harvest.', 'According to the tradition, eating the Twelve Grapes leads to a year of good luck and prosperity.']"
"They were believed to have a parallel existence to that of humans, the principal differences being that all orientations are reversed, such that up becomes down and left becomes right, and that all things possessed by them are diminished in size.","['Maa-alused are, in Estonian folk religion, mysterious elf-like creatures which live beneath the ground.']"
"Shin Gwang-su is believed to have participated in the disappearance of Tadaaki Hara in Miyazaki Prefecture, Japan, in June 1980 with a South Korean national named Kim Kil Uk.","['Sin Gwang-su (Korean: 신광수, Hanja: 辛光洙, Japanese: 立山富蔵 (Tateyama Tomizō), born June 27, 1929) is a North Korean national suspected of espionage for North Korea.', 'He is wanted by Japanese authorities for his alleged participation in abductions of Japanese citizens during the 1970s and 1980s.', ""He's sometimes known as Shin Kwang Soo.""]"
The monks believe that the island was once the resting place of the Ark of the Covenant.,"[""Tana Qirqos (variantly spelled Tana Kirkos; also called Tana Chirqos or Tana Chirkos, etc.; Ge'ez: ጣና ቂርቆስ ṭānā qirqos, ጣና ጪርቆስ ṭānā č̣irqos) is an island in the eastern part of Lake Tana in Ethiopia, near the mouth of the Gumara River, having a latitude and longitude of ."", 'It is considered a holy island, and only monks of the Ethiopian Church live there.']"
Cholones believe that carrying the poisonous tooth of a serpent is a protection against the bite of a serpent.,"['The nameis that given them by the Spanish.', 'They were first met by the Franciscans, who established mission villages among them in 1676.', 'LifeCholones were living in the district of Tingo Maria, having their own language, Tinganeses, Seeptsa, which was formerly spoken in the valley of Huallaga River from Tingo Maria to Valle.', 'In 1985 there were only one or two speakers of Tinganeses, Seeptsa.', 'Father Francisco Gutierrez of Franciscans composed a work on their language.']"
"After the Grey Cup, Tompkins believed that he was entering his option year, and as such that he would have a chance to try and sign with a National Football League team.","['Tony Tompkins (born November 21, 1982) is a former Canadian Football League wide receiver and special teams player.', 'Standing at only 5\'8"", Tompkins is just one of many diminutive kick return specialists to have found success in the CFL.', 'After attending Stephen F. Austin University, Tompkins signed with the Edmonton Eskimos as the replacement for former kick returner Winston October.', 'As a rookie in 2005, Tompkins participated in the 93rd Grey Cup in Vancouver, where he set a record for the longest kickoff return in a Grey Cup game by taking the ball 96 yards for a key touchdown, helping the Eskimos take victory.']"
"Some believe the location of Verysdale was somewhere in the Peak District (the ballad would seem to suggest so), although there are many suggestions and theories.","['Verysdale is a part of medieval England which is mentioned in the early ballads of Robin Hood (especially the ballad A Gest of Robyn Hode, in which a friendly knight, Richard at the Lee, befriends the gallant outlaw and later is revealed as the lord or Earl of Verysdale).', 'Verysdale may be entirely fictional, or it may be based upon a real county with some basis in geographical reality, or it may even have been a term used to refer to a real county.', 'Scholars and historians are divided as to this, as well as the exact supposed location of Verysdale.']"
The first settlements in the Hadashville area are believed to have been established about 1904.,"['Hadashville is a small, unincorporated community in the Rural Municipality of Reynolds, in eastern Manitoba, Canada.', 'Hadashville is located in the Whitemouth River watershed north of the Sandilands Provincial Forest, about  east of Winnipeg on Highway 11, and  miles north of the Trans-Canada Highway.', 'It has sandy soil, many farms, and is surrounded by the boreal forest.', 'This Whitemouth River area is very close to the western edge of the Canadian Shield, and just north of the United States border.']"
"He is believed to have died on the battlefield on March 12, 1827, thus ending six years of rebellion.","[""Phan Bá Vành (潘伯鑅, died March 12, 1827), a native of Minh Giám village (now Vũ Tiên, Thái Bình Province in coastal northern Vietnam), was the charismatic leader of one of Vietnam's largest peasant uprisings, the Phan Bá Vành's Rebellion, against the Emperor Minh Mạng, the second emperor of Nguyễn dynasty."", ""At the height of the insurgency, the command of Bá Vành's army had as many as 24 commanders with bases in many localities.""]"
"Although no scientific dating has been done, due to the similarities with fortified headlands throughout the Anglo-Celtic isles, archeologists strongly believe that this site dates back to the Celtic Iron Age.","['Cronk ny Merriu was previously considered by historians to be a prehistoric burial place due to its large grass-covered bank and name, literally translating to ""Hill of the Dead"".', 'The bank and ditch created a defensive promontory fort at Cronk ny Merriu.', 'Later, a rectangular building of Norse style and layout stood here, part of a system of coastal lookout posts used to protect the coastline and to police beach markets.', ""Excavations of Cronk ny Merriu show that there was very little domestic activity, and that the Norse building likely didn't have permanent residency."", ""It's suggested that the longhouse was primarily a building for those at nearby forts to shelter from harsh weather, rather than a place of defence itself.""]"
Allen is believed to have enlisted in the First World War on 16 September 1914 and was assigned to H Company in the 16th Battalion (according to the AIF Project website).,"['Brigadier Archibald Robert Allen,  (20 October 1888 – September 1961) was a senior Australian Army officer in the Second World War.']"
"Supporters of stimulant maintenance believe that prescription offers legal alternatives to people who would otherwise be purchasing impure drugs in unknown potency and concentration, unnecessarily risking their health and supporting an illegal market that fuels organized crime.",['Stimulant maintenance is the medical practice of prescribing stimulant substances such as cocaine or amphetamines to people who are dependent on these drugs.']
