believe_sentence,think_sentence,QUD_weak_believe,QUD_weak_think,QUD_strong,factP,modal,person,np,item
I might believe time moves backward at night.,I might think time moves backward at night.,Do you believe time moves backward at night?,Do you think time moves backward at night?,Do you know time moves backward at night?,0,modal,1,I,0
I can believe Mount Everest is located in the United States..,I can think Mount Everest is located in the United States..,Do you believe Mount Everest is located in the United States.?,Do you think Mount Everest is located in the United States.?,Do you know Mount Everest is located in the United States.?,0,modal,1,I,1
I can believe birds have fur.,I can think birds have fur.,Do you believe birds have fur?,Do you think birds have fur?,Do you know birds have fur?,0,modal,1,I,2
I can believe snow is hot.,I can think snow is hot.,Do you believe snow is hot?,Do you think snow is hot?,Do you know snow is hot?,0,modal,1,I,3
I can believe children learn to walk before they learn to run and jump.,I can think children learn to walk before they learn to run and jump.,Do you believe children learn to walk before they learn to run and jump?,Do you think children learn to walk before they learn to run and jump?,Do you know children learn to walk before they learn to run and jump?,1,modal,1,I,0
I might believe a circle is round.,I might think a circle is round.,Do you believe a circle is round?,Do you think a circle is round?,Do you know a circle is round?,1,modal,1,I,1
I might believe oceans cover more than 70 percent of the earth's surface.,I might think oceans cover more than 70 percent of the earth's surface.,Do you believe oceans cover more than 70 percent of the earth's surface?,Do you think oceans cover more than 70 percent of the earth's surface?,Do you know oceans cover more than 70 percent of the earth's surface?,1,modal,1,I,2
I can believe people write with pencils.,I can think people write with pencils.,Do you believe people write with pencils?,Do you think people write with pencils?,Do you know people write with pencils?,1,modal,1,I,3
I believe elephants are the size of ants.,I think elephants are the size of ants.,Do you believe elephants are the size of ants?,Do you think elephants are the size of ants?,Do you know elephants are the size of ants?,0,,1,I,0
I believe water is dry.,I think water is dry.,Do you believe water is dry?,Do you think water is dry?,Do you know water is dry?,0,,1,I,1
I believe humans have three eyes.,I think humans have three eyes.,Do you believe humans have three eyes?,Do you think humans have three eyes?,Do you know humans have three eyes?,0,,1,I,2
I believe the capital of France is Madrid..,I think the capital of France is Madrid..,Do you believe the capital of France is Madrid.?,Do you think the capital of France is Madrid.?,Do you know the capital of France is Madrid.?,0,,1,I,3
I believe earth takes one year to orbit the sun.,I think earth takes one year to orbit the sun.,Do you believe earth takes one year to orbit the sun?,Do you think earth takes one year to orbit the sun?,Do you know earth takes one year to orbit the sun?,1,,1,I,0
I believe electricity is what powers a lightbulb.,I think electricity is what powers a lightbulb.,Do you believe electricity is what powers a lightbulb?,Do you think electricity is what powers a lightbulb?,Do you know electricity is what powers a lightbulb?,1,,1,I,1
I believe people need to eat to survive.,I think people need to eat to survive.,Do you believe people need to eat to survive?,Do you think people need to eat to survive?,Do you know people need to eat to survive?,1,,1,I,2
I believe hats are worn on your head.,I think hats are worn on your head.,Do you believe hats are worn on your head?,Do you think hats are worn on your head?,Do you know hats are worn on your head?,1,,1,I,3
William can believe spiders have six legs.,William can think spiders have six legs.,Does William believe spiders have six legs?,Does William think spiders have six legs?,Does William know spiders have six legs?,0,modal,3,William,0
Max might believe the sun rises in the west.,Max might think the sun rises in the west.,Does Max believe the sun rises in the west?,Does Max think the sun rises in the west?,Does Max know the sun rises in the west?,0,modal,3,Max,1
Henry might believe the moon is made of cheese.,Henry might think the moon is made of cheese.,Does Henry believe the moon is made of cheese?,Does Henry think the moon is made of cheese?,Does Henry know the moon is made of cheese?,0,modal,3,Henry,2
