original,target,context,tense,form,person
"The French critics thought and possibly knew it was characteristic of American films of the 1930s or 1940s ; however , it was mostly characteristic of cheaper American movies , such as Charlie Chan mysteries where people collected in front of a fireplace or at the foot of the stairs in order to explain what happened a few minutes ago .","The French critics thought but didn't know it was characteristic of American films of the 1930s or 1940s ; however , it was mostly characteristic of cheaper American movies , such as Charlie Chan mysteries where people collected in front of a fireplace or at the foot of the stairs in order to explain what happened a few minutes ago .","[""The purpose of the composition is to allow complex dialogue scenes to be played out without changes in camera position."", ""In some literature, this is simply referred to as a 3/4 shot."", ""One of the other main reasons why French critics called it \""American shot\"" was its frequent use in the western genre."", ""This was because a shot that started at knee level would reveal the weapon of a cowboy, usually holstered at their waist."", ""It is actually the closest the camera can get to an actor while keeping both their face and their holstered gun in frame.""]",past,fin,none
The Claudine novels are thought and possibly known to be roughly autobiographical .,The Claudine novels are thought but not known to be roughly autobiographical .,"[""The novels were written in the late 19th century in collaboration with Colette's first husband, the writer Henry Gauthier-Villars, better known by his pen name \""Willy\""."", ""There has been much speculation over the degree of involvement of both Colette and Willy in the writing of the Claudine novels, particularly as Willy was known for often using ghostwriters."", ""Consequently, although the novels were originally attributed to Willy only and published under his name alone, they were later published under both names."", ""After the death of Willy, Colette went to court to challenge her former husband's involvement in any of the writing, and subsequently had his name removed from the books."", ""This decision however was overturned after her death, as Willy's son from a prior relationship, Jacques Gauthier-Villars, successfully sued to have his father's name restored.""]",past,fin,none
"When Tom Creighton discovered a rich vein of almost pure copper , he thought and possibly knew of the book and called it Flin Flon .","When Tom Creighton discovered a rich vein of almost pure copper , he thought but didn't know of the book and called it Flin Flon .","[""However, when the First World War broke out, many left or moved to Sturgeon Landing to find work in the Mandy Mine there."", ""Beaver City began to deteriorate, and by 1918 had practically become a ghost town."", ""One day whilst wandering in the wilderness he came upon a copy of The Sunless City by  J. E. Preston Muddock."", ""The story is about a man named Josiah Flintabbatey Flonatin \""Flin Flon\"", who piloted a submarine through a bottomless lake."", ""Upon passing through a hole lined with gold, he found a strange underground world.""]",past,fin,none
The breed is thought and possibly known by some to be the origin of the Chios and Kamakuyruk breeds .,The breed is thought but not known by some to be the origin of the Chios and Kamakuyruk breeds .,"[""The Dagli\u00e7 is a breed of sheep found primarily in western Anatolia in Turkey."", ""They are a carpet wool breed used for both meat and dairy production."", ""Sheep of this breed typically have black spots on the head and legs."", ""The rams are usually horned and the ewes are polled.""]",past,fin,none
"But Ben 's ex-wife 's sister , Jean Fleming still thinks and possibly knows that Ben is dangerous and look out for revenge against her sister as she has married mobster Harry Faulkner .","But Ben 's ex-wife 's sister , Jean Fleming still thinks but doesn't know that Ben is dangerous and look out for revenge against her sister as she has married mobster Harry Faulkner .","[""The Graveyard Shift is a 1965 novel by Harry Patterson, also known as Jack Higgins (Patterson being Higgins's real name)."", ""The novel tells the story of Nick Miller, a newly recruited police officer who lives with his rich brother but who will not take part in his brother's business."", ""Miller is on the trail of Ben Garvald, a man who has just been released from prison after completing a nine-year sentence there.""]",pres,fin,3
I think and possibly know other players could also be influenced by seeing their behaviour .,I think but don't know other players could also be influenced by seeing their behaviour .,"[""He also standing as an on-field umpire in BPL matches since 2015 Bangladesh Premier League."", ""He was included in Bangladesh's ICC Emerging Panel and was considered to be on his way to making the elite programme."", ""But, he left the profession of umpiring due to the concern of senior national players like Shakib Al Hasan and Mahmudullah showing dissent aggressively to umpire's decisions during 2021 Dhaka Premier Division Twenty20 Cricket League."", ""He had officiated 13 matches in the tournament."", ""While expressing his concern, he said, \""I am concerned about the behaviour of the senior cricketers in this 2021 DPL.""]",pres,fin,1
"It s unusual shape is thought and possibly known to be due to an interaction between NGC 4656 , NGC 4631 , and NGC 4627 .","It s unusual shape is thought but not known to be due to an interaction between NGC 4656 , NGC 4631 , and NGC 4627 .","[""NGC 4656/57 is a highly warped barred spiral galaxy located in the constellation Canes Venatici and is sometimes informally called the Hockey Stick Galaxies or the Crowbar Galaxy.""]",past,fin,none
It is thought and possibly known to be formed from part of the shock wave of the larger Vela Supernova Remnant .,It is thought but not known to be formed from part of the shock wave of the larger Vela Supernova Remnant .,"[""NGC 2736 (also known as the Pencil Nebula) is a small part of the Vela Supernova Remnant, located near the Vela Pulsar in the constellation Vela."", ""The nebula's linear appearance triggered its popular name."", ""It resides about 815 light-years (250 parsecs) away from the Solar System.""]",past,fin,none
"In the past , epitokes were thought and possibly known to be a separate group of polychaete marine worms , because epitokes may look very different than atokes .","In the past , epitokes were thought but not known to be a separate group of polychaete marine worms , because epitokes may look very different than atokes .","[""The majority of species that undergo epigamy are unable to revert to the atoke form and die after reproducing."", ""Male and female epitokes are produced and swim to the water's surface only at certain times of the year and are often synchronized with moon cycles in a behavior called swarming."", ""Swarming brings individuals of the same species together so that there is an increased rate of fertilization."", ""Some polychaete species have been found to use bioluminescence, presumably to compact and maintain swarms."", ""Both schizogamous and epigamous epitokes are non-feeding individuals that die once gametes have been released into the water.""]",past,fin,none
"When he is served food with mustard he thinks and possibly knows it is "" to mask the bitter odor of almonds , "" presumably a reference to cyanide .","When he is served food with mustard he thinks but doesn't know it is "" to mask the bitter odor of almonds , "" presumably a reference to cyanide .","[""\""Paranoid: A Chant\"" is a 100-line poem by Stephen King originally published in the 1985 short story collection Skeleton Crew."", ""Synopsis"", ""The poem is a first-person narrative from the diary of a person with paranoid schizophrenia, the character complains of persecution from \""the old woman in the room above\"" who \""has put an electric suction cup on the floor...\"" \""the waitress says it was salt, but I know arsenic when it's put before me...\"" and many more horrors.""]",pres,fin,3
He thinks and possibly knows that his enemies are part of a massive government conspiracy and mentions the FBI and the CIA .,He thinks but doesn't know that his enemies are part of a massive government conspiracy and mentions the FBI and the CIA .,"[""\""Paranoid: A Chant\"" is a 100-line poem by Stephen King originally published in the 1985 short story collection Skeleton Crew."", ""Synopsis"", ""The poem is a first-person narrative from the diary of a person with paranoid schizophrenia, the character complains of persecution from \""the old woman in the room above\"" who \""has put an electric suction cup on the floor...\"" \""the waitress says it was salt, but I know arsenic when it's put before me...\"" and many more horrors."", ""When he is served food with mustard he thinks it is \""to mask the bitter odor of almonds,\"" presumably a reference to cyanide."", ""According to the poem, the victim has amassed \""500 notebooks with 500 pages in each one\"" and records all the wrongs done unto him in the books.""]",pres,fin,3
"PhysiologyAngiotensin II is thought and possibly known to be a powerful dipsogen , and is one of the products of the renin–angiotensin pathway , a biological homeostatic mechanism for the regulation of electrolytes and water .","PhysiologyAngiotensin II is thought but not known to be a powerful dipsogen , and is one of the products of the renin–angiotensin pathway , a biological homeostatic mechanism for the regulation of electrolytes and water .","[""A dipsogen is an agent that causes thirst."", ""(From Greek: \u03b4\u03af\u03c8\u03b1 (dipsa), \""thirst\"" and the suffix -gen, \""to create\"".)""]",past,fin,none
