FILENAME:	2490_1106_1138
TOPIC#:		314
DATE:		910407
TRANSCRIBER:	SK
DIFFICULTY:	3
TOPICALITY:	1
NATURALNESS:	2
ECHO_FROM_B:	2
ECHO_FROM_A:	2
STATIC_ON_A:	1
STATIC_ON_B:	1
BACKGROUND_A:	1
BACKGROUND_B:	1
REMARKS: 	None.

========================================================================

A.1:   Okay, well what do you think? 

B.2:   Well, I'm kind of leaning towards, [sigh] I don't know, I'm thinking about what, from one to ten what my no would be. It would probably be somewhere closer to, [sigh] uh, less control because I don't see, I'm not a member of the N R A although my, 

A.3:   [Noise]. 

B.4:   father is. 

A.5:   Uh-huh. 

B.6:   But, I guess I believe, I think the N R A has gone overboard the wrong way. #You know,# 

A.7:   #Yeah.# 

B.8:   they're sitting there on number ten, they're saying absolutely no gun control, 

A.9:   [Noise]. 

B.10:   we don't even want to think about it and, and I think that's a dumb, 

A.11:   #Yeah.# 

B.12:   #situation.# Because there has got to be some kind of background check to see, 

A.13:   [Noise]. 

B.14:   that the people who are buying a gun are buying it for a useful purpose, you know, if, if you're going to hunt with it, 

A.15:   Uh-huh. 

B.16:   or if you're going to do sport shooting you can wait a week. 

A.17:   Right. #That's true.# 

B.18:   #It's not a# big deal for them to go. If they're can check your drivers license every time you get a ticket, you know, I mean, they should be able to go back and find out if you've had any kind of psychiatric record, 

A.19:   Right. 

B.20:   armed, you know, felony record. 

A.21:   That's true. 

B.22:   any of that kind of stuff. And, it seems to me right now that there's not, there's not that much of a check. I, I'm not really sure what Texas law, I think there's a check for (( )) felonies, on your record. 

A.23:   Right. #But,# 

B.24:   #If# the gun shop owner does it, 

A.25:   Uh-huh. 

B.26:   #you know, but,# 

A.27:   #Yeah, but he has to go out# and do it. That's true, #I think,# 

B.28:   #Yeah, if,# and if it's a private sale, of course, then there's nothing. 

A.29:   Right. And, see that's my only problem with, uh, [lipsmack] making you, [sigh] um, you know, get the check and everything is, is, I guess bad guys, if you want to call them bad guys, they are going to get a gun no matter what. 

B.30:   #Uh-huh.# 

A.31:   #They're not,# I don't think they're going to go to a gun store or pawn shop and get it the right way when there's a check, I think they're going to go out and find it someway, individual sale or something #like that.# 

B.32:   #Yes.# But, but maybe we'll prevent a few John Hinckley's. 

A.33:   Yeah. I hope. #That's true.# 

B.34:   #You know,# I, I, that, that's the kind of people, like I say, I don't think the guy who's going to rob a Seven Eleven, is going to rob a Seven Eleven whether he has a gun or a #knife, baseball bat,# 

A.35:   #Knife, exactly.# 

B.36:   or, you know, whatever, 

A.37:   He's going to do what he wants to do. 

B.38:   but, #you know,# 

A.39:   #That's true.# I, I just think it makes honest people more honest and, 

B.40:   Yeah. And, and the people who want it, it's not that big a deal, like I say, #to wait.# 

A.41:   #Right#. Right. And, if you have to have it in a hurry, something's wrong [laughter]. 

B.42:   [Laughter] Yeah, it makes you wonder, 

A.43:   [Noise] 

B.44:   what they need it for #all of a sudden here. Um,# 

A.45:   #[Laughter] That's right.# That's right. 

B.46:   Oh. 

A.47:   Well, I'm married to a policeman, so we, we talk about this a lot [laughter]. 

B.48:   Yeah, [laughter] I, I imagine his, his opinion is a little bit towards the one #there,# 

A.49:   #Yeah.# 

B.50:   on the -- 

A.51:   Yeah. 

B.52:   -- scale of one to ten he needs some more. 

A.53:   Yeah. I was watching a, 

B.54:   Gosh, if I was a cop I would be, 

A.55:   [Laughter] worried about that. 

B.56:   Too many people have too many, too much access. 

A.57:   Yeah, they do. They #do.# 

B.58:   #and,# I guess I think, the other thing that we ought to control to some extent is, there should be some law against the types of gu-, I mean, 

A.59:   [Breathing]. 

B.60:   some of these Saturday night specials that these companies put out, 

A.61:   #Right.# 

B.62:   #that are#, pie-, I mean, they're are basically it says here buy me and go rob a seven eleven 

A.63:   [cough] right or even even the um the little um [lipsmack] toy guns look real. I mean 

B.64:   #yes they that's really gotten bad# 

A.65:   #I've heard so much about that on TV# and that's kind of scary to think that you may be shot for holding one. 

B.66:   Or your child -- 

A.67:   Yeah. 

B.68:   -- accidently. If your child is old enough, I mean, there are a lot of kids who when they're ten look like they're twelve, 

A.69:   #Right.# 

B.70:   #or fourteen# or, and, and, especially some of the minority children. Whether, 

A.71:   Uh-huh. 

B.72:   you know a racist or not, that's the truth. And, [sniffing] And if some of them are doing something that they shouldn't be and then they have one of those toy guns in their hands and a cop comes up, 

A.73:   Right. I mean, you can't blame them. It looks -- 

B.74:   You can't (( )), 

A.75:   -- like they've got a weapon. 

B.76:   Jeez and you can't take the chances. 

A.77:   That's right, 

B.78:   Because there's been kids that age who have killed people. 

A.79:   [Laughter] Exactly. 

B.80:   And, you know, you know, there was a law in, [lipsmack] {pause} I think it's in Oregon, where they've now made all toy guns, they're making them neon colors. 

A.81:   #Right and I think, that's a good idea.# 

B.82:   #You know# like, yeah, and the kids don't care. 

A.83:   #That's right.# 

B.84:   #My kid didn't care.# 

A.85:   I know. 

B.86:   He picks up a stick and goes #bang.# 

A.87:   #Right,# [laughter] #right.# 

B.88:   #It doesn't# make any difference to him. 

